Diarienummer;Sîkbegrepp
M-1989-1;HéGDARVE 1:29 D A NéR
M-1989-2;LANSA 1:28 FèRô
M-1989-3;BARKARVE 1:17 ôJA
M-1989-5;SKOGBY 4:5 GAMMELGARN
M-1989-6;TORS 1:25 BRO
M-1989-7;ROSENDAL 1:24 FOLLINGBO
M-1989-8;SNAUVALDS 1:18 HôRSNE
M-1989-9;NYGèRDS 1:8 VéNGE
M-1989-10;HéGDARVE 1:29 D A NéR
M-1989-11;TAJNUNGS 3:1 HANGVAR
M-1989-12;VéSTERGARNS ANNEX 1:1 VéSTERG
M-1989-15;LANTHAMNEN 1:2 KLINTE
M-1989-16;TRéSKVéLDER 1:72 TINGSTéDE
M-1989-17;VIBBLE 1:3 1:122 VéSTERHEJDE
M-1989-18;VIBBLE 1:186 VéSTERHEJDE
M-1989-31;TRéSKVéLDER 1:66 TINGSTéDE
M-1989-32;PRéSTGèRDEN 1:1 ôJA
M-1989-35;NORRVANGE 1:37 LéRBRO
M-1989-36;ANDERSE 1:28 - 1:35 FIDE
M-1989-37;LAUTER 1:114 FèRô
M-1989-38;SIGVARDS 1:20 1:64 D A ESKEL
M-1989-39;SIGVARDS 1:64 ESKELHEM
M-1989-40;KVIE 2:3 VéTE
M-1989-41;ANDERSE 1:28 - 1:35 FIDE
M-1989-43;NYGèRDS 1:188 VéSTERHEJDE
M-1989-44;KLINTEGèRDA ST 1:71 VéSKINDE
M-1989-45;BJôRNUNGS 2:2 LOKRUME
M-1989-47;KRONHOLMEN 2:1 D A VéSTERGARN
M-1989-48;EKEBY 1:74 ESKELHEM
M-1989-49;LICKEDARVE 1:31 FLERINGE
M-1989-50;ANGELBJéRS 1:2 ANGA
M-1989-51;ANGEBJéRS 1:2 ANGA
M-1989-52;BOTERS 1:35 ANGA
M-1989-53;éNGGèRDE 1:9 ANGA
M-1989-54;ALSARVE 1:11 ARDRE
M-1989-55;BJôRKHAGE 1:20 BARLINGBO
M-1989-56;KLINTE 1:23 BOGE
M-1989-59;TJELDER 1:34 BOGE
M-1989-60;TJELDER 1:34 BOGE
M-1989-64;DUCKER 1:61 BUNGE
M-1989-66;STUX 1:238 BUNGE
M-1989-67;UPPUSE 1:17 BéL
M-1989-68;RéKARVE 1:23 DALHEM
M-1989-70;MEDEBYS 1:21-1:26 EKEBY
M-1989-71;MEDEBYS 1:21-1:26 EKEBY
M-1989-72;SANDE 1:8 EKEBY
M-1989-73;BUTAJDE 2:1 M FL ESKELHEM
M-1989-74;UNGHANSE 1:56 ESKELHEM
M-1989-75;ôVIDE 2:1 AVST ESKELHEM
M-1989-76;ôVIDE 2:1 AVST FR ESKELHEM
M-1989-77;KYRKEBY 1:28 ETELHEM
M-1989-78;ANDERSE 1:26 FIDE
M-1989-79;LICKEDARVE 1:12 FLERINGE
M-1989-80;RINGVIDE 1:2 FOLE
M-1989-81;KLINTE 1:77 FOLLINGBO
M-1989-82;VEDE L:A 1:3 FOLLINGBO
M-1989-84;PUSER 1:30 AVST FR FRôJEL
M-1989-85;BUTLEKS 1:27 FèRô
M-1989-86;BUTLEKS 1:27 FèRô
M-1989-87;DéMBA 1:28 FèRô
M-1989-88;FRIGGARS 1:34 FèRô
M-1989-89;NYSTUGU 1:3 FèRô
M-1989-90;RINGVIDE 1:18 D A FèRô
M-1989-91;SVENS 1:7 FèRô
M-1989-92;SVENS 1:7 FèRô
M-1989-93;VERKEGARDS 1:6 FèRô
M-1989-94;VINOR 1:37 FèRô
M-1989-95;SKOGBY 4:5 GAMMELGARN
M-1989-96;HARTVIKS 1:20 1:21 GANTHEM
M-1989-98;HALLBJéRNS 1:8 HABLINGBO
M-1989-99;STENSTUGO 3:1 HABLINGBO
M-1989-100;FLENVIKE 7:2 HANGVAR
M-1989-101;IHRE 1:24 HANGVAR
M-1989-104;KéNNUNGS 1:47 HELLVI
M-1989-105;KéNNUNGS 1:47 HELLVI
M-1989-106;MALMS 1:26 HELLVI
M-1989-107;VIVLINGS 1:73 HELLVI
M-1989-109;NYBJERS 1:8 HôRSNE
M-1989-112;OLARVE 1:19 HANGVAR
M-1989-113;ANSARVE 1:20 STENKUMLA
M-1989-114;ANDERSE 1:10 FIDE
M-1989-117;NORE 1:46 VAMLINGBO
M-1989-118;SUTARVE 1:20 KRéKLINGBO
M-1989-119;SMISS 1:12 LAU
M-1989-120;AJSARVE 1:7 LEVIDE
M-1989-121;SKINNARVE 3:1 LEVIDE
M-1989-122;KAMBS 1:66 LUMMELUNDA
M-1989-123;TJAULS 1:12 LUMMELUNDA
M-1989-125;GISSLAUSER 1:39 LéRBRO
M-1989-126;VéGUME ST 1:25 LéRBRO
M-1989-127;KVIE 1:52 MARTEBO
M-1989-128;KVIE 1:58 MARTEBO
M-1989-129;BOMMUNDS HAMMAREN 1:38 NéR
M-1989-130;BOSARVE 1:18 NéR
M-1989-132;DRAKARVE 1:15 NéS
M-1989-133;DRAKARVE 4:1 NéS
M-1989-134;OLSVENNE 1:11 NéS
M-1989-135;KLINTS 1:16 M FL OTHEM
M-1989-137;VINARVE 1:4 RONE
M-1989-138;ALVANS 1:5 RUTE
M-1989-139;BRéNTINGS 1:11 RUTE
M-1989-140;RUNNE 1:62 SANDA
M-1989-141;VéSTERBY 1:35 SANDA
M-1989-143;GERVIDE 1:40 SJONHEM
M-1989-145;KVIUNGS 1:17 STENKUMLA
M-1989-146;KéLLGèRDS 1:9 LOTTEN E STENK
M-1989-147;KéLLGèRDS 1:9 STENKUMLA
M-1989-148;KéLLGèRDS 1:9 LOTTEN F STENK
M-1989-149;VALE 1:16 STENKYRKA
M-1989-150;TOMASE 1:13 A SUNDRE
M-1989-151;VéNNES 1:19 SUNDRE
M-1989-152;DYPLE 1:15 TOFTA
M-1989-153;DYPLE 1:17 TOFTA
M-1989-155;KROKS 1:76 TOFTA
M-1989-156;KROKSTéDE 2:7 TOFTA
M-1989-157;LICKSARVE 1:38 TOFTA
M-1989-158;SMèGèRDE 1:5 TOFTA
M-1989-159;SMèGèRDA 1:15 TOFTA
M-1989-160;SMèGèRDE 1:64 TOFTA
M-1989-161;SMèGèRDE 1:64 TOFTA
M-1989-162;AUSTRE 1:41 VAMLINGBO
M-1989-163;AUSTRE 1:52 VAMLINGBO
M-1989-164;KYRKER 1:28 VAMLINGBO
M-1989-165;NORE 1:46 VAMLINGBO
M-1989-166;SIGSARVE 1:54 1:55-1:58 VIKL
M-1989-167;SIGSARVE 1:54 1:55-1:58 VIKL
M-1989-184;SUDERBYS 2:2 VéNGE
M-1989-185;KNUTS 5:1 VéSKINDE
M-1989-186;RINGVIDE 1:83 STENKYRKA
M-1989-187;RINGVIDE 1:83 STENKYRKA
M-1989-188;KRONHOLMEN 2:1 VéSTERGARN
M-1989-189;MAFRIDS STORA 1:105 VéSTERGAR
M-1989-190;BOTMUNDS 1:4 VéSTERHEJDE
M-1989-191;BOTMUNDS 1:37 OCH 1:24 VéSTER
M-1989-192;KUSE 1:64 VéSTERHEJDE
M-1989-193;KUSE 1:75 VéSTERHEJDE
M-1989-194;NYGèRDS 1:19 VéSTERHEJDE
M-1989-195;NYGèRDS 1:54 VéSTERHEJDE
M-1989-196;NYGèRDS 1:70 VéSTERHEJDE
M-1989-197;NYGèRDS 1:79 VéSTERHEJDE
M-1989-198;NYGèRDS 1:92 VéSTERHEJDE
M-1989-199;NYGèRDS 1:94 VéSTERHEJDE
M-1989-200;NYGèRDS 1:98 VéSTERHEJDE
