Diarienummer;Sökbegrepp;Fastighet;Fnr
M-1995-2409;1254 VÄSTERHEJDE;;
M-1996-683;141 ANLÄGGNING;;
M-1994-1775;141/165/3920;;
M-1993-560;1665 KV SOTAREN;;
M-2005-3127;1TEST;;
MHN-2018-2523;2018/787;;
MBNV-2019-185;562-4426-2018;;
M-1994-2133;A7 VISBY;;
M-1994-1573;A7-OMRÅDET;;
M-1992-1868;A7-OMRÅDET HUS 55 VISBY;;
M-1989-2685;A7-OMRÅDET VISBY;;
M-1991-343;A7-OMRÅDET VISBY;;
M-1993-567;A7-OMRÅDET VISBY;;
M-1994-1087;A7-OMRÅDET VISBY;;
M-1989-262;AB GOTLANDSSENAPSFABRIK VISBY;;
M-1990-2573;AB KEGES STORKÖK VISBY;;
M-1989-2247;ABBORREN M M VISBY;;
M-1989-1137;ABULERANDE;;
M-1990-2072;ACACIA CAFÉ & RESTAURANG;;
M-1995-2576;ACACIA VISBY;;
M-1995-1789;ACACIA/BARBEACUE VISBY;;
M-1994-1282;ACACIAN M FL VISBY;;
M-1994-371;ADELSGATAN VISBY;;
M-1994-376;ADELSGATAN VISBY;;
M-1991-886;ADELSGATANS FÖRENING;;
M-1998-86;ADMINISTRATION;;
M-1996-1896;AGHATAS KROG;;
M-1994-999;AJMUNDS 1:16 ROMAKLOSTER/BN 940356;;
M-1991-1332;AJPE SAMF KVARNÅKERSHAMN SILTE;;
M-1989-1478;AJPE SAMF MARK SILTE;;
M-1993-548;AJPE SILTE;;
M-1995-525;AKEBÄCK;;
M-1997-3122;AKEBÄCK;;
M-1998-1012;AKEBÄCK;;
M-2000-2373;AKEBÄCK;;
M-2000-2538;AKEBÄCK;;
M-2000-2651;AKEBÄCK;;
M-1997-1496;AKEBÄCK FRIMANSTORP;;
M-1997-2586;AKEBÄCK HÄGDARVE;;
M-1997-278;AKEBÄCK SUDERBYS;;
M-1998-1574;AKEBÄCK SUDERBYS;;
M-1994-1519;ALA;;
M-1995-2267;ALA;;
M-1996-687;ALA;;
M-1998-44;ALA;;
M-1997-3020;ALA BOTVATTE;;
M-2000-2726;ALA FJÄLE FORNTIDSBY;;
M-1996-1034;ALA LAURITSE;;
M-2005-2362;ALA OLLAJVS 1:11 STENSTUGU 1:13;;
M-1997-2901;ALA-KRÄKLINGBO;;
M-1993-1909;ALLÉGATAN;;
M-1989-1861;ALLEGATAN 104 2 TR VISBY;;
M-1995-461;ALLÉGATAN 91 93 VISBY;;
M-1994-551;ALLÉGATAN VISBY;;
M-1994-2408;ALLÉGATAN VISBY;;
M-1993-1479;ALLEKVIA 1:2 ENDRE 930658;;
M-1992-1400;ALLEKVIA 1:6 (DEL AV) ENDRE;;
M-1994-2113;ALLMUNGS HAVDHEM;;
M-1990-2467;ALLMUNGS L:A 1:13 AVST FR HAV;;
M-1990-2461;ALLMUNGS L:A 1:13 HAVDHEM;;
M-1994-919;ALLMUNGS STÅNGA;;
M-1989-325;ALLMÄNNA RIKTLINJER;;
M-1995-2383;ALLMÄNNINGEN NÄR;;
M-1989-261;ALLMÄNT;;
M-2000-1109;ALLMÄNT VATTEN;;
M-1989-2233;ALMEDALEN VISBY;;
M-1990-2317;ALMEDALEN VISBY;;
M-1994-1559;ALMEDALEN VISBY;;
M-1994-1560;ALMEDALEN VISBY;;
M-1994-1562;ALMEDALEN VISBY;;
M-1995-970;ALMEDALEN VISBY BUNKER;;
M-1989-1025;ALMEDALENS KROG;;
M-1994-1072;ALMEDALENS KROG;;
M-1990-1496;ALMEDALENS KROG VISBY;;
M-1990-2210;ALMUNGS L:A 1:13 HAVDHEM;;
M-1995-343;ALMUNGS ST 1:28 HAVDHEM/BN 950097;;
M-1995-2462;ALSARVE;;
M-1989-524;ALSARVE 1:42 1:46 1:47 ARDR;;
M-1989-1166;ALSARVE 3:1 KAUPUNGS 6:1 ARD;;
M-1991-72;ALSARVE 3:1 KAUPUNGS 6:1 ARD;;
M-1994-292;ALSKOG;;
M-1994-1583;ALSKOG;;
M-1996-439;ALSKOG;;
M-1997-1204;ALSKOG;;
M-1997-1220;ALSKOG;;
M-1997-2705;ALSKOG;;
M-1998-1288;ALSKOG;;
M-1998-3150;ALSKOG;;
M-1999-1536;ALSKOG;;
M-1999-1926;ALSKOG;;
M-2000-2942;ALSKOG;;
M-2000-2788;ALSKOG ANNINGÅKRE;;
M-1992-170;ALSKOG AVLOPPSRENINGSVERK;;
M-2000-1670;ALSKOG GOTLANDS DJURPARK;;
M-2000-3341;ALSKOG GUFFRIDE 1:22 OCH SMISS 1:4;;
M-1997-1992;ALSKOG GUFFRIDE LJUARN;;
M-1997-1673;ALSKOG GUTE ZOO;;
M-1999-1907;ALSKOG LJUGARN;;
M-1997-2293;ALSKOG MALLGÅRDS 1:15/1:17;;
M-1997-700;ALSKOG OLLEIVS SAMF (STRANDBOD);;
